Tense,Person,English,German
Present,I,I shower,ich dusche
Present,you (singular),you shower,du duschst
Present,he/she/it,he/she/it showers,er/sie/es duscht
Present,we,we shower,wir duschen
Present,you (plural),you shower,ihr duscht
Present,they,they shower,sie duschen
PerfectPresent,I,I have showered,ich habe geduscht
PerfectPresent,you (singular),you have showered,du hast geduscht
PerfectPresent,he/she/it,he/she/it has showered,er/sie/es hat geduscht
PerfectPresent,we,we have showered,wir haben geduscht
PerfectPresent,you (plural),you have showered,ihr habt geduscht
PerfectPresent,they,they have showered,sie haben geduscht
Past,I,I showered,ich duschte
Past,you (singular),you showered,du duschtest
Past,he/she/it,he/she/it showered,er/sie/es duschte
Past,we,we showered,wir duschten
Past,you (plural),you showered,ihr duschtet
Past,they,they showered,sie duschten
PerfectPast,I,I had showered,ich hatte geduscht
PerfectPast,you (singular),you had showered,du hattest geduscht
PerfectPast,he/she/it,he/she/it had showered,er/sie/es hatte geduscht
PerfectPast,we,we had showered,wir hatten geduscht
PerfectPast,you (plural),you had showered,ihr hattet geduscht
PerfectPast,they,they had showered,sie hatten geduscht
Future,I,I will shower,ich werde duschen
Future,you (singular),you will shower,du wirst duschen
Future,he/she/it,he/she/it will shower,er/sie/es wird duschen
Future,we,we will shower,wir werden duschen
Future,you (plural),you will shower,ihr werdet duschen
Future,they,they will shower,sie werden duschen
PerfectFuture,I,I will have showered,ich werde geduscht haben
PerfectFuture,you (singular),you will have showered,du wirst geduscht haben
PerfectFuture,he/she/it,he/she/it will have showered,er/sie/es wird geduscht haben
PerfectFuture,we,we will have showered,wir werden geduscht haben
PerfectFuture,you (plural),you will have showered,ihr werdet geduscht haben
PerfectFuture,they,they will have showered,sie werden geduscht haben
