Tense,Person,English,German
Present,I,I sleep,ich schlafe
Present,you (singular),you sleep,du schläfst
Present,he/she/it,he/she/it sleeps,er/sie/es schläft
Present,we,we sleep,wir schlafen
Present,you (plural),you sleep,ihr schlaft
Present,they,they sleep,sie schlafen
PerfectPresent,I,I have slept,ich habe geschlafen
PerfectPresent,you (singular),you have slept,du hast geschlafen
PerfectPresent,he/she/it,he/she/it has slept,er/sie/es hat geschlafen
PerfectPresent,we,we have slept,wir haben geschlafen
PerfectPresent,you (plural),you have slept,ihr habt geschlafen
PerfectPresent,they,they have slept,sie haben geschlafen
Past,I,I slept,ich schlief
Past,you (singular),you slept,du schliefst
Past,he/she/it,he/she/it slept,er/sie/es schlief
Past,we,we slept,wir schliefen
Past,you (plural),you slept,ihr schlieft
Past,they,they slept,sie schliefen
PerfectPast,I,I had slept,ich hatte geschlafen
PerfectPast,you (singular),you had slept,du hattest geschlafen
PerfectPast,he/she/it,he/she/it had slept,er/sie/es hatte geschlafen
PerfectPast,we,we had slept,wir hatten geschlafen
PerfectPast,you (plural),you had slept,ihr hattet geschlafen
PerfectPast,they,they had slept,sie hatten geschlafen
Future,I,I will sleep,ich werde schlafen
Future,you (singular),you will sleep,du wirst schlafen
Future,he/she/it,he/she/it will sleep,er/sie/es wird schlafen
Future,we,we will sleep,wir werden schlafen
Future,you (plural),you will sleep,ihr werdet schlafen
Future,they,they will sleep,sie werden schlafen
PerfectFuture,I,I will have slept,ich werde geschlafen haben
PerfectFuture,you (singular),you will have slept,du wirst geschlafen haben
PerfectFuture,he/she/it,he/she/it will have slept,er/sie/es wird geschlafen haben
PerfectFuture,we,we will have slept,wir werden geschlafen haben
PerfectFuture,you (plural),you will have slept,ihr werdet geschlafen haben
PerfectFuture,they,they will have slept,sie werden geschlafen haben
