Tense,Person,English,German
Present,I,I ski,ich ski
Present,you (singular),you ski,du ski
Present,he/she/it,he/she/it skis,er/sie/es ski
Present,we,we ski,wir ski
Present,you (plural),you ski,ihr ski
Present,they,they ski,sie ski
PerfectPresent,I,I have skied,ich bin Ski gefahren
PerfectPresent,you (singular),you have skied,du bist Ski gefahren
PerfectPresent,he/she/it,he/she/it has skied,er/sie/es ist Ski gefahren
PerfectPresent,we,we have skied,wir sind Ski gefahren
PerfectPresent,you (plural),you have skied,ihr seid Ski gefahren
PerfectPresent,they,they have skied,sie sind Ski gefahren
Past,I,I skied,ich fuhr Ski
Past,you (singular),you skied,du fuhrst Ski
Past,he/she/it,he/she/it skied,er/sie/es fuhr Ski
Past,we,we skied,wir fuhren Ski
Past,you (plural),you skied,ihr fuhrt Ski
Past,they,they skied,sie fuhren Ski
PerfectPast,I,I had skied,ich war Ski gefahren
PerfectPast,you (singular),you had skied,du warst Ski gefahren
PerfectPast,he/she/it,he/she/it had skied,er/sie/es war Ski gefahren
PerfectPast,we,we had skied,wir waren Ski gefahren
PerfectPast,you (plural),you had skied,ihr wart Ski gefahren
PerfectPast,they,they had skied,sie waren Ski gefahren
Future,I,I will ski,ich werde Ski fahren
Future,you (singular),you will ski,du wirst Ski fahren
Future,he/she/it,he/she/it will ski,er/sie/es wird Ski fahren
Future,we,we will ski,wir werden Ski fahren
Future,you (plural),you will ski,ihr werdet Ski fahren
Future,they,they will ski,sie werden Ski fahren
PerfectFuture,I,I will have skied,ich werde Ski gefahren sein
PerfectFuture,you (singular),you will have skied,du wirst Ski gefahren sein
PerfectFuture,he/she/it,he/she/it will have skied,er/sie/es wird Ski gefahren sein
PerfectFuture,we,we will have skied,wir werden Ski gefahren sein
PerfectFuture,you (plural),you will have skied,ihr werdet Ski gefahren sein
PerfectFuture,they,they will have skied,sie werden Ski gefahren sein
